,index
624,18:2  The Blessed Lord said: The learned ones know sannyasa to be the giving up of actions done with a desire for reward. The adepts call the abandonment of the results of all works as tyaga.
625,"18:3  Some learned persons say that action, beset with evil (as it is), should be given up, and others (say) that the practice of sacrifice, charity and austerity should not be given up."
626,"18:4  O the most excellent among the descendants of Bharata, hear from Me the firm conclusion regarding that tyaga. For, O greatest among men, tyaga has been clearly declared to be of three kinds."
627,"18:5  The practice of sacrifice, charity and austerity is not to be abandoned; it is surely to be undertaken. Sacrifice, charity and austerity are verily the purifiers of the wise."
628,"18:6  But even these actions have to be undertaken by renouncing attachment and (hankering for) results. This is My firm and best conclusion, O Partha."
629,18:7  The abandoning of daily obligatory acts (nityakamas) is not justifiable. Giving up that through delusion is declared to be based on tamas.
630,"18:8  Whatever action one may relinquish merely as being painful, from fear of physical suffering, he, having resorted to renunciation based on rajas, will surely not acquire the fruits of renunciation."
631,"18:9  Whatever obligatory duty is performed just because it is a bounden duty, O Arjuna, by giving up attachment and the result as well, -that renunciation is considered to be based on sattva."
632,"18:10  The man of renunciation who has become imbued with sattva, who is wise and freed from doubts, does not hate unbefitting action, nor does he become attached to befitting activity."
633,"18:11  Since it is not possible for one who holds on to a body to give up actions entirely, therefore he, on the other hand, who renounces results on actions is called a man of renunciation."
634,"18:12  The threefold results of actions-the undesirable, the desirable, and the mixed-accrues after death to those who do not resort to renunciation, but never to those who resort to monasticism."
635,"18:13  O mighty-armed one, learned from Me these five factors for the accomplishment of all actions, which have been spoken of in the Vedanta in which actions terminate."
636,"18:14  The locus as also the agent, the different kinds of organs, the many and distinct activities, and, the divine is here the fifth."
637,"18:15  Whatever action a man performs with the body, speech and mind, be it just or its reverse, of it these five are the causes."
638,"18:16  This being the case, anyone, who, owing to the imperfection of his intellect, perceives the absolute Self as the agent, that man does not perceive (properly), and has a perverted intellect."
639,"18:17  He who has not the feeling of egoism, whose intellect is not tainted, he does not kill, nor does he become bound-even by killing these creatures!"
640,"18:18  Knowledge, the object the knowledge and the knower-this is the threefold inducement to action. The comprehension of actions comes under three heads-the instruments, the object and the subject."
641,"18:19  Knowledge, action and agent are stated in the teaching about the gunas to be only of three kinds according to the differences of the gunas. Hear about them also as they are."
642,"18:20  Know that knowledge to be originating from sattva through which one sees a single, undecaying, undivided Entity in all the diversified things."
643,"18:21  But know that knowledge to be originating from rajas which, amidst all things, apprehends the different entities of various kinds as distinct [As possessing distinct selves.]."
644,"18:22  But that (knowledge) is said to be born of tamas which is confined to one form as though it were all, which is irrational, not concern with truth and trivial."
645,"18:23  The daily obligatory action which is performed without attachment and without likes or dislikes by one who does not hanker for rewards, that is said to be born of sattva."
646,"18:24  But that action is said to be born of rajas which is done by one desirous of results or by one who is egotistic, and which is highly strenuous."
647,"18:25  That action is said to be born of tamas which is undertaken out of delusion, (and) without consideration of its conscience, loss, harm and ability."
648,"18:26  The agent who is free from attachment [Attachment to results or the idea of agentship.], not egotistic, endowed with fortitude and diligence, and unperturbed by success and failure is said to be possessed of sattva."
649,"18:27  The agent who has attachment, who is desirous of the results of actions, covetous, cruel by nature, unclean and subject to joy and sorrow is declared to be possessed of rajas."
650,"18:28  The agent who is unsteady, naive, unbending, deceitful, wicked, lazy, morose and procrastinating is said to be possessed of tamas."
651,"18:29  O Dhananjaya, listen to the classification of the intellect as also of fortitude, which is threefold according to the gunas, while it is being stated elaborately and severally."
652,"18:30  O Partha, that intellect is born of sattva which understands action and withdrawal, duty and what is not duty, the sources of fear and fearlessness, and bondage and freedom."
653,"18:31  O Partha, that intellect is born of rajas with which one wrongly understands virtue and vice as also what ought to be done and ought not to be done."
654,"18:32  O Partha, that intellect is born of tamas which, being covered by darkness, considers vice as virtue, and verily perceives all things contrary to what they are."
655,"18:33  O Partha, the firmness that is unfailing through concentration, with which one restrains the functions of the mind, vital forces and the organs, that firmness is born of sattva."
656,"18:34  But, O Partha, the firmness with which one holds on to righteousness, covetable things and wealth, being desirous of their fruits as the occasion for each arises, that firmness is born of rajas."
657,"18:35  That firmness is considered to be born of tamas due to which a person with a corrupt intellect does not give up sleep, fear, sorrow, despondency as also sensuality."
658,"18:36  Now hear from Me, O scion of the Bharata dynasty, as regards the three kinds of joy: That in which one delights owing to habit, and certainly attains the cessation of sorrows; That which is like poison in the beginning, but comparable to nectar in the end, and which, arises from the purity of one's intellect-that joy is spoken of as born of sattva."
659,"18:37  Now hear from Me, O scion of the Bharata dynasty, as regards the three kinds of joy: That in which one delights owing to habit, and certainly attains the cessation of sorrows; That which is like poison in the beginning, but comparable to nectar in the end, and which, arises from the purity of one's intellect-that joy is spoken of as born of sattva."
660,"18:38  That joy is referred to as born of rajas which, arising from the contact of the organs and (their) objects, is like nectar in the beginning, but like poison at the end."
661,"18:39  That joy is said to be born of tamas which, both in the beginning and in the end, is delusive to oneself and arises from sleep, laziness and inadvertence."
662,"18:40  There is no such entity in the world or, again, among the gods in heaven, which can be free from these three gunas born of Nature."
663,"18:41  O scorcher of enemies, the duties of the Brahmanas, the Ksatriyas and the Vaisyas, as also of the Sudras have been fully classified according to the gunas born from Nature."
664,"18:42  The natural duties of the Brahmanas are the control of the internal and external organs, austerity, purity, forgiveness, straightforwardness, knowledge as also wisdom [Knowledge refers to the understanding of subjects presented by the scriptures; wisdom means making them matters of one's own experience.] and faith."
665,"18:43  The natural duties of the Ksatriyas are heroism, boldness, fortitude, capability, and also not retreating from battle, generosity and lordliness."
666,"18:44  The natural duties of the Vaisyas are agriculture, cattle-rearing and trade. Of the Sudras, too, the natural duty is in the form of service."
667,"18:45  Being devoted to his own duty, man attains complete success. Hear that as to how one devoted to his own duty achieves success."
668,"18:46  A human being achieves success by adoring through his own duties Him from whom is the origin of creatures, and by whom is all this pervaded."
669,"18:47  One's own duty, (though) defective, is superior to another's duty well performed. By performing a duty as dictated by one's own nature, one does not incur sin."
670,"18:48  O son of Kunti, one should not give up the duty to which one is born, even though it be faulty. For all undertakings are surrounded with evil, as fire is with smoke."
671,"18:49  He whose intellect remains unattached to everything, who has conquered his internal organs and is desire-less, attains through monasticism the supreme perfection consisting in the state of one free from duties."
672,"18:50  Understand for certain from Me, in brief indeed, O son of Kunti, that process by which one who has achieved success attains Brahman, which is the supreme consummation of Knowledge."
673,"18:51  Being endowed with a pure intellect, and controlling oneself with fortitude, rejecting the objects-beginning from sound, and eliminating attachment and hatred;"
674,"18:52  One who resorts to solitude, eats sparingly, has speech, body and mind under control, to whom meditation and concentration are ever the highest (duty), and who is possessed of dispassion;"
675,"18:53  (That person,) having discarded egotism, force, pride, desire, anger and superfluous possessions, free from the idea of possession, and serene, is fit for becoming Brahman."
676,"18:54  One who has become Brahman and has attained the blissful Self does not grieve or desire. Becoming the same towards all beings, he attains supreme devotion to Me."
677,"18:55  Through devotion he knows Me in reality, as to what and who I am. Then, having known Me in truth, he enters (into Me) immediately after that (Knowledge)."
678,"18:56  Ever engaging even in all actions, one to whom I am the refuge, attains the eternal, immutable State through My grace."
679,"18:57  Mentally surrendering all actions to Me and accepting Me as the supreme, have your mind ever fixed on Me by resorting to the concentration of your intellect."
680,"18:58  Having your mind fixed on Me, you will cross over all difficulties through My grace. If, on the other hand, you do not listen out of egotism, you will get destroyed."
681,"18:59  That you think 'I shall not fight', by relying on egotism, -vain is this determination of yours. (Your) nature impel you!"
682,"18:60  Being bound by your own duty born of nature, O son of Kunti, you, being helpless, will verily do that which you do not wish to do owing to indiscrimination."
683,"18:61  O Arjuna, the Lord resides in the region of the heart of all creatures, revolving through Maya all the creatures (as though) mounted on a machine!"
684,"18:62  Take refuge in Him alone with your whole being, O scion of the Bharata dynasty. Through His grace you will attain the supreme Peace and the eternal Abode."
685,"18:63  To you has been imparted by Me this knowledge [Derived in the instrumental sense of 'means of knowledge'; i.e. the scripture Gita.] which is more secret than any secret. Pondering over this as a whole, do as you like."
686,"18:64  Listen again to My highest utterance which is the profoundest of all. Since you are ever dear to Me, therefore I shall speak what is beneficial to you."
687,"18:65  Have your mind fixed on Me, be My devotee, be a sacrificer to Me and bow down to Me. (Thus) you will come to Me alone. (This) truth do I promise to you. (For) you are dear to Me."
688,"18:66  Abandoning all forms of rites and duties, take refuge in Me alone. I shall free you from all sins. (Therefore) do not grieve."
689,"18:67  This (that I have taught) you should not ever be taught to one who is devoid of austerities and to one who is not a devotee; also, neither to one who does not render service, nor as well to one who cavils at Me."
690,"18:68  He who, entertaining supreme devotion to Me, will speak of this highest secret, to My devotees will without doubt reach Me alone."
691,"18:69  And as compared with him, none else among human beings is the best accomplisher of what is dear to Me. Moreover, nor will there be anyone else in the world dearer to Me than he."
692,"18:70  And he who will study this sacred conversation between us two, which is conducive to virtue, by him I shall be adored through the Sacrifice in the form of Knowledge. This is My judgement."
693,"18:71  Any man who, being reverential and free from cavilling, might even hear (this), he too, becoming free, shall attain the blessed worlds of those who perform virtuous deeds."
694,"18:72  O Partha, has this been listened to by you with a one-pointed mind? O Dhananjaya, has your delusion caused by ignorance been destroyed?"
695,"18:73  Arjuna said: O Acyuta, (my) delusion has been destroyed and memory has been retained by me through Your grace. I stand with my doubt removed; I shall follow Your instruction."
696,"18:74  Sanjaya said: I thus heard this conversation of Vasudeva and of the great-souled Partha, which is unique and makes one's hair stand on end."
697,"18:75  Through the favour of Vyasa I heard this secret concerning the supreme Yoga from Krsna, the Lord of yogas, while He Himself was actually speaking!"
698,"18:76  And, O king, while repeatedly remembering this unique, sacred dialogue between Kesava and Arjuna, I rejoice every moment."
699,"18:77  O king, repeatedly recollecting that greatly extraordinary form of Hari, I am struck with wonder. And I rejoice again and again."
700,"18:78  Where there is Krsna, the Lord of yogas, and where there is Partha, the wielder of the bow, there are fortune, victory, prosperity and unfailing prudence. Such is my conviction."
